metal,mode,entry_z,exit_z,is_n_trades,is_n_long,is_n_short,is_win_rate,is_win_rate_long,is_win_rate_short,is_ann_ret_bp,is_ann_vol_bp,is_sharpe,is_max_dd_bp,is_avg_pnl_bp,is_avg_carry_bp,is_avg_basis_bp,oos_n_trades,oos_n_long,oos_n_short,oos_win_rate,oos_win_rate_long,oos_win_rate_short,oos_ann_ret_bp,oos_ann_vol_bp,oos_sharpe,oos_max_dd_bp,oos_avg_pnl_bp,oos_avg_carry_bp,oos_avg_basis_bp
xau,BOTH,1.5,0.3,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.313187344474024,7.828651037418396,5.149442369035246,-4.138584254762506,-51.70827330507335,13.407576312576312,-64.87584961764966
xau,SHORT,1.5,0.3,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.313187344474024,7.828651037418396,5.149442369035246,-4.138584254762506,-51.70827330507335,13.407576312576312,-64.87584961764966
xau,BOTH,1.5,0.5,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.313187344474024,7.828651037418396,5.149442369035246,-4.138584254762506,-51.70827330507335,13.407576312576312,-64.87584961764966
xau,SHORT,1.5,0.5,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.313187344474024,7.828651037418396,5.149442369035246,-4.138584254762506,-51.70827330507335,13.407576312576312,-64.87584961764966
xau,BOTH,1.5,0.75,0,0,0,,,,0,0,,0,,,,5,0,5,0.2,,0.2,22.927218419748556,6.85432315896817,3.3449281406801883,-4.138584254762517,-12.919784027948253,7.16509249084249,-19.844876518790745
xau,SHORT,1.5,0.75,0,0,0,,,,0,0,,0,,,,5,0,5,0.2,,0.2,22.927218419748556,6.85432315896817,3.3449281406801883,-4.138584254762517,-12.919784027948253,7.16509249084249,-19.844876518790745
xau,BOTH,2.0,0.3,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,SHORT,2.0,0.3,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,BOTH,2.0,0.5,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,SHORT,2.0,0.5,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,BOTH,2.0,0.75,0,0,0,,,,0,0,,0,,,,5,0,5,0.2,,0.2,23.419908786974457,6.8129715711969885,3.4375468240592926,-4.138584254762517,-7.104689678219133,6.590673260073261,-13.455362938292392
xau,SHORT,2.0,0.75,0,0,0,,,,0,0,,0,,,,5,0,5,0.2,,0.2,23.419908786974457,6.8129715711969885,3.4375468240592926,-4.138584254762517,-7.104689678219133,6.590673260073261,-13.455362938292392
xau,BOTH,2.5,0.3,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,SHORT,2.5,0.3,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,BOTH,2.5,0.5,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,SHORT,2.5,0.5,0,0,0,,,,0,0,,0,,,,4,0,4,0.0,,0.0,40.99103343581663,7.786328957844153,5.2644877525398135,-4.138584254762506,-33.5220753799554,12.014959935897437,-45.29703531585284
xau,BOTH,2.5,0.75,0,0,0,,,,0,0,,0,,,,4,0,4,0.25,,0.25,2.25886949030103,4.693268849953934,0.4812998280128788,-4.138584254762515,2.0955363635728403,1.8803617216117217,0.4551746419611188
xau,SHORT,2.5,0.75,0,0,0,,,,0,0,,0,,,,4,0,4,0.25,,0.25,2.25886949030103,4.693268849953934,0.4812998280128788,-4.138584254762515,2.0955363635728403,1.8803617216117217,0.4551746419611188
xag,BOTH,1.5,0.3,0,0,0,,,,0,0,,0,,,,10,9,1,0.5,0.4444444444444444,1.0,3.326143495770147,11.286694913266535,0.2946959691326956,-8.538854742493697,0.595630954693879,0.9516130219780219,-0.11598206728414358
xag,LONG,1.5,0.3,0,0,0,,,,0,0,,0,,,,9,9,0,0.4444444444444444,0.4444444444444444,,1.148766766788209,11.059855614695984,0.10386815224438956,-10.373241556125462,0.4634835430698357,1.0226255799755801,-0.3191420369057441
xag,SHORT,1.5,0.3,0,0,0,,,,0,0,,0,,,,1,0,1,1.0,,1.0,2.1773767289819377,2.2558834486168444,0.9651991242353226,-0.12,1.7849576593102594,0.3125,1.7124576593102596
xag,BOTH,1.5,0.5,0,0,0,,,,0,0,,0,,,,10,9,1,0.5,0.4444444444444444,1.0,3.326143495770147,11.286694913266535,0.2946959691326956,-8.538854742493697,0.595630954693879,0.9516130219780219,-0.11598206728414358
xag,LONG,1.5,0.5,0,0,0,,,,0,0,,0,,,,9,9,0,0.4444444444444444,0.4444444444444444,,1.148766766788209,11.059855614695984,0.10386815224438956,-10.373241556125462,0.4634835430698357,1.0226255799755801,-0.3191420369057441
xag,SHORT,1.5,0.5,0,0,0,,,,0,0,,0,,,,1,0,1,1.0,,1.0,2.1773767289819377,2.2558834486168444,0.9651991242353226,-0.12,1.7849576593102594,0.3125,1.7124576593102596
xag,BOTH,1.5,0.75,0,0,0,,,,0,0,,0,,,,11,10,1,0.6363636363636364,0.6,1.0,13.864395637661357,12.161222081491736,1.140049539820648,-6.555743834383998,2.3334378111627547,0.9782603396603397,1.5951774715024145
xag,LONG,1.5,0.75,0,0,0,,,,0,0,,0,,,,10,10,0,0.6,0.6,,11.687018908679416,11.958641835221798,0.9772864736409806,-6.555743834383999,2.388285826348004,1.0448363736263735,1.5834494527216303
xag,SHORT,1.5,0.75,0,0,0,,,,0,0,,0,,,,1,0,1,1.0,,1.0,2.1773767289819377,2.2558834486168444,0.9651991242353226,-0.12,1.7849576593102594,0.3125,1.7124576593102596
xag,BOTH,2.0,0.3,0,0,0,,,,0,0,,0,,,,7,7,0,0.42857142857142855,0.42857142857142855,,10.61219191577743,10.910659542012143,0.9726444010936786,-6.4357438343840006,2.9918513745131046,1.5252397087039942,1.7066116658091097
xag,LONG,2.0,0.3,0,0,0,,,,0,0,,0,,,,7,7,0,0.42857142857142855,0.42857142857142855,,10.61219191577743,10.910659542012143,0.9726444010936786,-6.4357438343840006,2.9918513745131046,1.5252397087039942,1.7066116658091097
xag,BOTH,2.0,0.5,0,0,0,,,,0,0,,0,,,,7,7,0,0.42857142857142855,0.42857142857142855,,10.61219191577743,10.910659542012143,0.9726444010936786,-6.4357438343840006,2.9918513745131046,1.5252397087039942,1.7066116658091097
xag,LONG,2.0,0.5,0,0,0,,,,0,0,,0,,,,7,7,0,0.42857142857142855,0.42857142857142855,,10.61219191577743,10.910659542012143,0.9726444010936786,-6.4357438343840006,2.9918513745131046,1.5252397087039942,1.7066116658091097
xag,BOTH,2.0,0.75,0,0,0,,,,0,0,,0,,,,7,7,0,0.42857142857142855,0.42857142857142855,,10.61219191577743,10.910659542012143,0.9726444010936786,-6.4357438343840006,2.9918513745131046,1.5252397087039942,1.7066116658091097
xag,LONG,2.0,0.75,0,0,0,,,,0,0,,0,,,,7,7,0,0.42857142857142855,0.42857142857142855,,10.61219191577743,10.910659542012143,0.9726444010936786,-6.4357438343840006,2.9918513745131046,1.5252397087039942,1.7066116658091097
xag,BOTH,2.5,0.3,0,0,0,,,,0,0,,0,,,,6,6,0,0.3333333333333333,0.3333333333333333,,-2.936177911225526,9.166949338906027,-0.32030044049266293,-8.87492523924648,-0.4734383087031732,1.090049196174196,-1.3234875048773693
xag,LONG,2.5,0.3,0,0,0,,,,0,0,,0,,,,6,6,0,0.3333333333333333,0.3333333333333333,,-2.936177911225526,9.166949338906027,-0.32030044049266293,-8.87492523924648,-0.4734383087031732,1.090049196174196,-1.3234875048773693
xag,BOTH,2.5,0.5,0,0,0,,,,0,0,,0,,,,6,6,0,0.3333333333333333,0.3333333333333333,,-2.936177911225526,9.166949338906027,-0.32030044049266293,-8.87492523924648,-0.4734383087031732,1.090049196174196,-1.3234875048773693
xag,LONG,2.5,0.5,0,0,0,,,,0,0,,0,,,,6,6,0,0.3333333333333333,0.3333333333333333,,-2.936177911225526,9.166949338906027,-0.32030044049266293,-8.87492523924648,-0.4734383087031732,1.090049196174196,-1.3234875048773693
xag,BOTH,2.5,0.75,0,0,0,,,,0,0,,0,,,,6,6,0,0.3333333333333333,0.3333333333333333,,-2.936177911225526,9.166949338906027,-0.32030044049266293,-8.87492523924648,-0.4734383087031732,1.090049196174196,-1.3234875048773693
xag,LONG,2.5,0.75,0,0,0,,,,0,0,,0,,,,6,6,0,0.3333333333333333,0.3333333333333333,,-2.936177911225526,9.166949338906027,-0.32030044049266293,-8.87492523924648,-0.4734383087031732,1.090049196174196,-1.3234875048773693
