metal,entryz,exitz,stopz,total_pnl,ann_ret,sharpe,max_dd,n_trades
GC,1.0,0.0,2.5,109.9,9.3,0.15,-77.3,43
SI,1.0,0.0,2.5,118.2,10.0,0.08,-241.3,37
GC,1.0,0.0,3.5,109.9,9.3,0.15,-77.3,43
SI,1.0,0.0,3.5,118.2,10.0,0.08,-241.3,37
GC,1.0,0.0,4.5,109.9,9.3,0.15,-77.3,43
SI,1.0,0.0,4.5,118.2,10.0,0.08,-241.3,37
GC,1.0,0.3,2.5,105.9,9.0,0.16,-64.8,47
SI,1.0,0.3,2.5,63.2,5.4,0.04,-231.1,40
GC,1.0,0.3,3.5,105.9,9.0,0.16,-64.8,47
SI,1.0,0.3,3.5,63.2,5.4,0.04,-231.1,40
GC,1.0,0.3,4.5,105.9,9.0,0.16,-64.8,47
SI,1.0,0.3,4.5,63.2,5.4,0.04,-231.1,40
GC,1.0,0.5,2.5,107.2,9.1,0.16,-64.8,49
SI,1.0,0.5,2.5,49.4,4.2,0.04,-242.7,43
GC,1.0,0.5,3.5,107.2,9.1,0.16,-64.8,49
SI,1.0,0.5,3.5,49.4,4.2,0.04,-242.7,43
GC,1.0,0.5,4.5,107.2,9.1,0.16,-64.8,49
SI,1.0,0.5,4.5,49.4,4.2,0.04,-242.7,43
GC,1.5,0.0,2.5,155.1,13.2,0.22,-69.9,34
SI,1.5,0.0,2.5,43.1,3.7,0.03,-238.3,29
GC,1.5,0.0,3.5,155.1,13.2,0.22,-69.9,34
SI,1.5,0.0,3.5,43.1,3.7,0.03,-238.3,29
GC,1.5,0.0,4.5,155.1,13.2,0.22,-69.9,34
SI,1.5,0.0,4.5,43.1,3.7,0.03,-238.3,29
GC,1.5,0.3,2.5,159.8,13.6,0.24,-66.7,34
SI,1.5,0.3,2.5,27.2,2.3,0.02,-229.6,32
GC,1.5,0.3,3.5,159.8,13.6,0.24,-66.7,34
SI,1.5,0.3,3.5,27.2,2.3,0.02,-229.6,32
GC,1.5,0.3,4.5,159.8,13.6,0.24,-66.7,34
SI,1.5,0.3,4.5,27.2,2.3,0.02,-229.6,32
GC,1.5,0.5,2.5,159.3,13.5,0.24,-67.4,34
SI,1.5,0.5,2.5,25.4,2.2,0.02,-242.7,33
GC,1.5,0.5,3.5,159.3,13.5,0.24,-67.4,34
SI,1.5,0.5,3.5,25.4,2.2,0.02,-242.7,33
GC,1.5,0.5,4.5,159.3,13.5,0.24,-67.4,34
SI,1.5,0.5,4.5,25.4,2.2,0.02,-242.7,33
GC,2.0,0.0,2.5,89.0,7.6,0.16,-65.7,22
SI,2.0,0.0,2.5,53.6,4.5,0.03,-225.3,25
GC,2.0,0.0,3.5,89.0,7.6,0.16,-65.7,22
SI,2.0,0.0,3.5,53.6,4.5,0.03,-225.3,25
GC,2.0,0.0,4.5,89.0,7.6,0.16,-65.7,22
SI,2.0,0.0,4.5,53.6,4.5,0.03,-225.3,25
GC,2.0,0.3,2.5,83.4,7.1,0.15,-65.7,22
SI,2.0,0.3,2.5,42.7,3.6,0.03,-217.3,26
GC,2.0,0.3,3.5,83.4,7.1,0.15,-65.7,22
SI,2.0,0.3,3.5,42.7,3.6,0.03,-217.3,26
GC,2.0,0.3,4.5,83.4,7.1,0.15,-65.7,22
SI,2.0,0.3,4.5,42.7,3.6,0.03,-217.3,26
GC,2.0,0.5,2.5,83.4,7.1,0.15,-65.7,22
SI,2.0,0.5,2.5,46.2,3.9,0.04,-242.7,27
GC,2.0,0.5,3.5,83.4,7.1,0.15,-65.7,22
SI,2.0,0.5,3.5,46.2,3.9,0.04,-242.7,27
GC,2.0,0.5,4.5,83.4,7.1,0.15,-65.7,22
SI,2.0,0.5,4.5,46.2,3.9,0.04,-242.7,27
