entrydate,fnd1date,fdd1date,exitdate,metal,f1contract,f2contract,f1entry,f2entry,switchentry,entrycarry,entrydtefnd1,entrydtefdd1,daycount,holddays,carrypnlbp,execcostbp_total,totalpnlbp,year
2018-02-28,2018-03-30,2018-04-02,2018-06-01,GC,GC Apr-2018,GC Jun-2018,1317.9,1323.7,5.8,82.4,30,33,60,93,13.73,1.0,12.73,2018
2018-12-30,2019-01-31,2019-02-01,2019-04-01,GC,GC Feb-2019,GC Apr-2019,1283.0,1289.3,6.3,129.75,32,33,59,92,21.26,1.0,20.26,2019
2019-04-07,2019-05-31,2019-06-03,2019-08-01,GC,GC Jun-2019,GC Aug-2019,1295.6,1301.7,6.1,249.3,54,57,59,116,40.86,1.0,39.86,2019
2019-10-22,2019-11-29,2019-12-02,2020-02-03,GC,GC Dec-2019,GC Feb-2020,1487.5,1494.5,7.0,80.32,38,41,63,104,14.06,1.0,13.06,2019
2020-03-19,2020-03-31,2020-04-01,2020-06-01,GC,GC Apr-2020,GC Jun-2020,1479.3,1482.3,3.0,88.59,12,13,61,74,15.01,1.0,14.01,2020
2020-06-02,2020-07-31,2020-08-03,2020-10-01,GC,GC Aug-2020,GC Oct-2020,1734.0,1743.3,9.3,299.79,59,62,59,121,49.13,1.0,48.13,2020
2020-10-02,2020-11-30,2020-12-01,2021-02-01,GC,GC Dec-2020,GC Feb-2021,1907.6,1914.7,7.1,188.88,59,60,62,122,32.53,1.0,31.53,2020
2021-03-04,2021-03-31,2021-04-01,2021-06-01,GC,GC Apr-2021,GC Jun-2021,1700.7,1703.7,3.0,80.26,27,28,61,89,13.6,1.0,12.6,2021
2022-03-14,2022-03-31,2022-04-01,2022-06-01,GC,GC Apr-2022,GC Jun-2022,1960.8,1965.5,4.7,81.53,17,18,61,79,13.82,1.0,12.82,2022
2022-06-02,2022-07-29,2022-08-01,2022-10-03,GC,GC Aug-2022,GC Oct-2022,1871.4,1879.4,8.0,92.96,57,60,63,123,16.27,1.0,15.27,2022
2022-10-04,2022-11-30,2022-12-01,2023-02-01,GC,GC Dec-2022,GC Feb-2023,1730.5,1743.7,13.2,80.6,57,58,62,120,13.88,1.0,12.88,2022
2024-12-23,2025-01-31,2025-02-03,2025-04-01,GC,GC Feb-2025,GC Apr-2025,2628.2,2650.5,22.3,82.2,39,42,57,99,13.01,1.0,12.01,2025
2025-09-24,2025-09-30,2025-10-01,2025-12-01,GC,GC Oct-2025,GC Dec-2025,3735.0,3768.1,33.1,95.84,6,7,61,68,16.24,1.0,15.24,2025
