entrydate,exitdate,metal,f1contract,f2contract,f1entry,f2entry,switchentry,f1exit,f2exit,switchexit,entrycarry,exitcarry,entryz,exitz_val,exitreason,holddays,entrydtefdd,basispnlbp,carrypnlbp,execcostbp_total,totalpnlbp
2018-08-28,2018-09-03,SI,SI Sep-2018,SI Dec-2018,14.77,14.9,0.12,14.44,14.56,0.12,96.49,86.34,1.59,1.95,fdd_exit,6,6,2.45,1.61,1.0,3.06
2018-09-04,2018-12-03,SI,SI Dec-2018,SI Jan-2019,14.18,14.28,0.1,14.5,14.59,0.09,681.17,527.81,7.52,-4.2,fdd_exit,90,90,-161.83,170.29,1.0,7.46
2019-02-10,2019-02-13,SI,SI Mar-2019,SI May-2019,15.81,15.91,0.1,15.65,15.75,0.1,340.59,92.56,7.16,0.16,signal,3,19,-1.57,2.84,1.0,0.27
2019-02-17,2019-02-18,SI,SI Mar-2019,SI May-2019,15.74,15.84,0.1,15.74,15.84,0.1,338.38,94.22,5.2,0.05,signal,1,12,-0.94,0.94,1.0,-1.0
2019-03-03,2019-03-04,SI,SI May-2019,SI Jul-2019,15.26,15.35,0.09,15.1,15.2,0.09,338.37,97.35,3.73,-0.07,signal,1,59,-0.94,0.94,1.0,-1.0
2019-03-10,2019-03-11,SI,SI May-2019,SI Jul-2019,15.35,15.44,0.09,15.27,15.37,0.09,332.33,89.73,3.27,-0.27,signal,1,52,-0.92,0.92,1.0,-1.0
2019-03-17,2019-03-18,SI,SI May-2019,SI Jul-2019,15.32,15.42,0.09,15.32,15.42,0.09,336.52,92.65,3.02,-0.27,signal,1,45,-0.93,0.93,1.0,-1.0
2019-03-31,2019-04-01,SI,SI May-2019,SI Jul-2019,15.11,15.2,0.09,15.1,15.19,0.1,341.64,101.61,2.84,-0.23,signal,1,31,-1.61,0.95,1.0,-1.66
2019-04-07,2019-04-08,SI,SI May-2019,SI Jul-2019,15.09,15.18,0.09,15.22,15.31,0.09,328.66,87.02,2.49,-0.45,signal,1,24,-1.58,0.91,1.0,-1.66
2019-04-14,2019-04-15,SI,SI May-2019,SI Jul-2019,14.96,15.05,0.09,14.98,15.06,0.09,327.57,72.66,2.5,-0.61,signal,1,17,1.1,0.91,1.0,1.0
2019-07-07,2019-07-17,SI,SI Sep-2019,SI Dec-2019,15.0,15.12,0.12,15.97,16.09,0.11,94.11,47.28,2.23,-0.05,signal,10,57,-1.28,2.61,1.0,0.33
2019-08-09,2019-08-28,SI,SI Sep-2019,SI Dec-2019,16.93,17.07,0.14,18.32,18.46,0.14,97.95,79.03,1.58,-0.05,signal,19,24,-5.17,5.17,1.0,-1.0
2019-09-03,2019-11-29,SI,SI Dec-2019,SI Jan-2020,19.24,19.37,0.13,16.97,17.11,0.14,583.44,779.13,7.37,-0.21,signal,87,90,-144.64,141.0,1.0,-4.64
2020-03-17,2020-03-24,SI,SI May-2020,SI Jul-2020,12.5,12.53,0.03,14.26,14.26,0.01,111.95,-6.44,2.99,-4.01,signal,7,45,18.63,2.18,1.0,19.81
2020-03-27,2020-04-02,SI,SI May-2020,SI Jul-2020,14.53,14.58,0.05,14.65,14.69,0.03,168.86,97.87,2.0,0.02,signal,6,35,8.88,2.81,1.0,10.7
2020-04-07,2020-04-30,SI,SI May-2020,SI Jul-2020,15.48,15.53,0.05,14.9,14.97,0.08,167.04,269.29,1.58,-0.02,signal,23,24,-25.53,10.67,1.0,-15.86
