date,nav_usd,ret_net
2018-01-01,100000000.0,0.0
2018-01-02,100000000.0,0.0
2018-01-03,100000000.0,0.0
2018-01-04,100000000.0,0.0
2018-01-05,100000000.0,0.0
2018-01-06,100000000.0,0.0
2018-01-07,100000000.0,0.0
2018-01-08,100000000.0,0.0
2018-01-09,100000000.0,0.0
2018-01-10,100000000.0,0.0
2018-01-11,100000000.0,0.0
2018-01-12,100000000.0,0.0
2018-01-13,100000000.0,0.0
2018-01-14,100000000.0,0.0
2018-01-15,100000000.0,0.0
2018-01-16,100000000.0,0.0
2018-01-17,100000000.0,0.0
2018-01-18,100000000.0,0.0
2018-01-19,100000000.0,0.0
2018-01-20,100000000.0,0.0
2018-01-21,100000000.0,0.0
2018-01-22,100000000.0,0.0
2018-01-23,100000000.0,0.0
2018-01-24,100000000.0,0.0
2018-01-25,100000000.0,0.0
2018-01-26,100000000.0,0.0
2018-01-27,100000000.0,0.0
2018-01-28,100000000.0,0.0
2018-01-29,100000000.0,0.0
2018-01-30,100000000.0,0.0
2018-01-31,100000000.0,0.0
2018-02-01,100000000.0,0.0
2018-02-02,100000000.0,0.0
2018-02-03,100000000.0,0.0
2018-02-04,100000000.0,0.0
2018-02-05,100000000.0,0.0
2018-02-06,100000000.0,0.0
2018-02-07,100000000.0,0.0
2018-02-08,100000000.0,0.0
2018-02-09,100000000.0,0.0
2018-02-10,100000000.0,0.0
2018-02-11,100000000.0,0.0
2018-02-12,100000000.0,0.0
2018-02-13,100000000.0,0.0
2018-02-14,100000000.0,0.0
2018-02-15,100000000.0,0.0
2018-02-16,100000000.0,0.0
2018-02-17,100000000.0,0.0
2018-02-18,100000000.0,0.0
2018-02-19,100000000.0,0.0
2018-02-20,100000000.0,0.0
2018-02-21,100000000.0,0.0
2018-02-22,100000000.0,0.0
2018-02-23,100000000.0,0.0
2018-02-24,100000000.0,0.0
2018-02-25,100000000.0,0.0
2018-02-26,100000000.0,0.0
2018-02-27,100000000.0,0.0
2018-02-28,100000000.0,0.0
2018-03-01,100000000.0,0.0
2018-03-02,100059078.67449927,0.0005907867449928581
2018-03-03,100059078.67449927,0.0
2018-03-04,100059078.67449927,0.0
2018-03-05,100118192.25189638,0.0005907867449928581
2018-03-06,100177340.75281143,0.0005907867449928581
2018-03-07,100236524.19787683,0.0005907867449928581
2018-03-08,100295742.60773708,0.0005907867449928581
2018-03-09,100354996.00304894,0.0005907867449928581
2018-03-10,100354996.00304894,0.0
2018-03-11,100354996.00304894,0.0
2018-03-12,100414284.40448135,0.0005907867449928581
2018-03-13,100473607.83271547,0.0005907867449928581
2018-03-14,100532966.30844463,0.0005907867449928581
2018-03-15,100592359.85237446,0.0005907867449928581
2018-03-16,100651788.4852228,0.0005907867449928581
2018-03-17,100651788.4852228,0.0
2018-03-18,100651788.4852228,0.0
2018-03-19,100711252.22771968,0.0005907867449928581
2018-03-20,100770751.10060745,0.0005907867449928581
2018-03-21,100830285.12464064,0.0005907867449928581
2018-03-22,100889854.32058613,0.0005907867449928581
2018-03-23,100949458.70922299,0.0005907867449928581
2018-03-24,100949458.70922299,0.0
2018-03-25,100949458.70922299,0.0
2018-03-26,101009098.3113426,0.0005907867449928581
2018-03-27,101068773.1477486,0.0005907867449928581
2018-03-28,101128483.23925698,0.0005907867449928581
2018-03-29,101188228.60669596,0.0005907867449928581
2018-03-30,101188228.60669596,0.0
2018-03-31,101188228.60669596,0.0
2018-04-01,101188228.60669596,0.0
2018-04-02,101188228.60669596,0.0
2018-04-03,101188228.60669596,0.0
2018-04-04,101188228.60669596,0.0
2018-04-05,101188228.60669596,0.0
2018-04-06,101188228.60669596,0.0
2018-04-07,101188228.60669596,0.0
2018-04-08,101188228.60669596,0.0
2018-04-09,101188228.60669596,0.0
2018-04-10,101188228.60669596,0.0
2018-04-11,101188228.60669596,0.0
2018-04-12,101188228.60669596,0.0
2018-04-13,101188228.60669596,0.0
2018-04-14,101188228.60669596,0.0
2018-04-15,101188228.60669596,0.0
2018-04-16,101188228.60669596,0.0
2018-04-17,101188228.60669596,0.0
2018-04-18,101188228.60669596,0.0
2018-04-19,101188228.60669596,0.0
2018-04-20,101188228.60669596,0.0
2018-04-21,101188228.60669596,0.0
2018-04-22,101188228.60669596,0.0
2018-04-23,101188228.60669596,0.0
2018-04-24,101188228.60669596,0.0
2018-04-25,101188228.60669596,0.0
2018-04-26,101188228.60669596,0.0
2018-04-27,101188228.60669596,0.0
2018-04-28,101188228.60669596,0.0
2018-04-29,101188228.60669596,0.0
2018-04-30,101188228.60669596,0.0
2018-05-01,101188228.60669596,0.0
2018-05-02,101188228.60669596,0.0
2018-05-03,101188228.60669596,0.0
2018-05-04,101188228.60669596,0.0
2018-05-05,101188228.60669596,0.0
2018-05-06,101188228.60669596,0.0
2018-05-07,101188228.60669596,0.0
2018-05-08,101188228.60669596,0.0
2018-05-09,101188228.60669596,0.0
2018-05-10,101188228.60669596,0.0
2018-05-11,101188228.60669596,0.0
2018-05-12,101188228.60669596,0.0
2018-05-13,101188228.60669596,0.0
2018-05-14,101188228.60669596,0.0
2018-05-15,101188228.60669596,0.0
2018-05-16,101188228.60669596,0.0
2018-05-17,101188228.60669596,0.0
2018-05-18,101188228.60669596,0.0
2018-05-19,101188228.60669596,0.0
2018-05-20,101188228.60669596,0.0
2018-05-21,101188228.60669596,0.0
2018-05-22,101188228.60669596,0.0
2018-05-23,101188228.60669596,0.0
2018-05-24,101188228.60669596,0.0
2018-05-25,101188228.60669596,0.0
2018-05-26,101188228.60669596,0.0
2018-05-27,101188228.60669596,0.0
2018-05-28,101188228.60669596,0.0
2018-05-29,101188228.60669596,0.0
2018-05-30,101188228.60669596,0.0
2018-05-31,101188228.60669596,0.0
2018-06-01,101409923.85781409,0.0021909193803541266
2018-06-02,101405608.72853914,-4.255135109838157e-05
2018-06-03,101401293.78287879,-4.255135109838157e-05
2018-06-04,101626493.25012447,0.0022208737072713343
2018-06-05,101604008.00096966,-0.00022125381321059715
2018-06-06,101653514.05041383,0.0004872450449364724
2018-06-07,101644190.4612417,-9.171930020537597e-05
