,Date,Open,High,Low,Close,Volume,Ticker
01/01/1900,09/09/2024,,,,15/04/1907 16:48,2,GCA Comdty
02/01/1900,10/09/2024,,,,25/04/1907 09:36,2,GCA Comdty
03/01/1900,11/09/2024,,,,25/04/1907 02:24,4,GCA Comdty
04/01/1900,12/09/2024,,,,03/06/1907 19:12,4,GCA Comdty
05/01/1900,13/09/2024,,,,02/07/1907 21:36,4,GCA Comdty
06/01/1900,14/09/2024,,,,02/07/1907 21:36,4,GCA Comdty
07/01/1900,15/09/2024,,,,02/07/1907 21:36,4,GCA Comdty
08/01/1900,16/09/2024,,,,29/06/1907 07:12,4,GCA Comdty
09/01/1900,17/09/2024,,,,13/06/1907 12:00,4,GCA Comdty
10/01/1900,18/09/2024,,,,20/06/1907 12:00,4,GCA Comdty
11/01/1900,19/09/2024,,,,06/07/1907 04:48,4,GCA Comdty
12/01/1900,20/09/2024,,,,08/08/1907 09:36,4,GCA Comdty
13/01/1900,21/09/2024,,,,08/08/1907 09:36,4,GCA Comdty
14/01/1900,22/09/2024,,,,08/08/1907 09:36,4,GCA Comdty
15/01/1900,23/09/2024,,,,14/08/1907 16:48,4,GCA Comdty
16/01/1900,24/09/2024,2805,2805,05/09/1907 00:00,10/09/1907 02:24,2,GCA Comdty
17/01/1900,25/09/2024,2805,2805,05/09/1907 00:00,18/09/1907 00:00,2,GCA Comdty
18/01/1900,26/09/2024,2805,2805,05/09/1907 00:00,29/09/1907 21:36,2,GCA Comdty
19/01/1900,27/09/2024,2805,2805,2805,2801.6,1,GCA Comdty
20/01/1900,28/09/2024,2805,2805,2805,2801.6,1,GCA Comdty
21/01/1900,29/09/2024,2805,2805,2805,2801.6,1,GCA Comdty
22/01/1900,30/09/2024,2784.9,2784.9,2784.9,2794.7,3,GCA Comdty
23/01/1900,01/10/2024,2822,2822,2822,2827,1,GCA Comdty
24/01/1900,02/10/2024,2822,2822,2822,2807.9,5,GCA Comdty
25/01/1900,03/10/2024,2822,2822,2822,2817.7,5,GCA Comdty
26/01/1900,04/10/2024,2799.9,2799.9,2799.9,2813.7,4,GCA Comdty
27/01/1900,05/10/2024,2799.9,2799.9,2799.9,2813.7,4,GCA Comdty
28/01/1900,06/10/2024,2799.9,2799.9,2799.9,2813.7,4,GCA Comdty
29/01/1900,07/10/2024,2799.9,2799.9,2799.9,2814.8,4,GCA Comdty
30/01/1900,08/10/2024,2780,2780,2780,2782.6,2,GCA Comdty
31/01/1900,09/10/2024,2780,2780,2780,2774.2,2,GCA Comdty
01/02/1900,10/10/2024,2792.1,2792.1,2791.9,2789.2,6,GCA Comdty
02/02/1900,11/10/2024,2792.1,2792.1,2791.9,2825.8,6,GCA Comdty
03/02/1900,12/10/2024,2792.1,2792.1,2791.9,2825.8,6,GCA Comdty
04/02/1900,13/10/2024,2792.1,2792.1,2791.9,2825.8,6,GCA Comdty
05/02/1900,14/10/2024,2792.1,2792.1,2791.9,2816.2,6,GCA Comdty
06/02/1900,15/10/2024,2825,2825,2825,2829,2,GCA Comdty
07/02/1900,16/10/2024,2825,2825,2825,2842.2,2,GCA Comdty
08/02/1900,17/10/2024,2846.4,2847,2845.7,2858.7,5,GCA Comdty
09/02/1900,18/10/2024,2885.6,2885.6,2885.6,2882.9,2,GCA Comdty
10/02/1900,19/10/2024,2885.6,2885.6,2885.6,2882.9,2,GCA Comdty
11/02/1900,20/10/2024,2885.6,2885.6,2885.6,2882.9,2,GCA Comdty
12/02/1900,21/10/2024,2885.6,2885.6,2885.6,2893.7,2,GCA Comdty
13/02/1900,22/10/2024,2885.6,2885.6,2885.6,2915.8,2,GCA Comdty
14/02/1900,23/10/2024,2885.6,2885.6,2885.6,2886.4,2,GCA Comdty
15/02/1900,24/10/2024,2885.6,2885.6,2885.6,2905.7,2,GCA Comdty
16/02/1900,25/10/2024,2885.6,2885.6,2885.6,2911.3,2,GCA Comdty
17/02/1900,26/10/2024,2885.6,2885.6,2885.6,2911.3,2,GCA Comdty
18/02/1900,27/10/2024,2885.6,2885.6,2885.6,2911.3,2,GCA Comdty
19/02/1900,28/10/2024,2885.6,2885.6,2885.6,2914.9,2,GCA Comdty
20/02/1900,29/10/2024,2885.6,2885.6,2885.6,2939.8,2,GCA Comdty
21/02/1900,30/10/2024,2885.6,2885.6,2885.6,2963,1,GCA Comdty
22/02/1900,31/10/2024,2885.6,2885.6,2885.6,2911.7,13,GCA Comdty
23/02/1900,01/11/2024,2885.6,2885.6,2885.6,2910.6,2,GCA Comdty
24/02/1900,02/11/2024,2885.6,2885.6,2885.6,2910.6,2,GCA Comdty
25/02/1900,03/11/2024,2885.6,2885.6,2885.6,2910.6,2,GCA Comdty
26/02/1900,04/11/2024,2885.6,2885.6,2885.6,2908.5,2,GCA Comdty
27/02/1900,05/11/2024,2885.6,2885.6,2885.6,2915,2,GCA Comdty
28/02/1900,06/11/2024,2880,2880,2853.8,2840.3,2,GCA Comdty
29/02/1900,07/11/2024,2820.9,2868,2820.9,2870.2,3,GCA Comdty
01/03/1900,08/11/2024,2858.7,2858.7,2858.7,2859,1,GCA Comdty
02/03/1900,09/11/2024,2858.7,2858.7,2858.7,2859,1,GCA Comdty
03/03/1900,10/11/2024,2858.7,2858.7,2858.7,2859,1,GCA Comdty
04/03/1900,11/11/2024,2791.8,2791.8,2791.8,2779.9,4,GCA Comdty
05/03/1900,12/11/2024,2791.8,2791.8,2791.8,2768.3,4,GCA Comdty
06/03/1900,13/11/2024,2791.8,2791.8,2791.8,2745.9,4,GCA Comdty
07/03/1900,14/11/2024,2705.6,2705.6,2705.6,2731.5,18,GCA Comdty
08/03/1900,15/11/2024,2705.6,2705.6,2705.6,2728.7,18,GCA Comdty
09/03/1900,16/11/2024,2705.6,2705.6,2705.6,2728.7,18,GCA Comdty
10/03/1900,17/11/2024,2705.6,2705.6,2705.6,2728.7,18,GCA Comdty
11/03/1900,18/11/2024,2705.6,2705.6,2705.6,2775.5,18,GCA Comdty
12/03/1900,19/11/2024,2705.6,2705.6,2705.6,2791.7,18,GCA Comdty
13/03/1900,20/11/2024,2800,2800,2800,2814.5,10,GCA Comdty
14/03/1900,21/11/2024,2825.1,2825.1,2825.1,2839.1,1,GCA Comdty
15/03/1900,22/11/2024,2825.1,2825.1,2825.1,2880.2,1,GCA Comdty
16/03/1900,23/11/2024,2825.1,2825.1,2825.1,2880.2,1,GCA Comdty
17/03/1900,24/11/2024,2825.1,2825.1,2825.1,2880.2,1,GCA Comdty
18/03/1900,25/11/2024,2825.1,2825.1,2825.1,2782.3,1,GCA Comdty
19/03/1900,26/11/2024,2825.1,2825.1,2825.1,2786,1,GCA Comdty
20/03/1900,27/11/2024,2825.1,2825.1,2825.1,2802.7,1,GCA Comdty
21/03/1900,28/11/2024,2825.1,2825.1,2825.1,2802.7,1,GCA Comdty
