,Date,Open,High,Low,Close,Volume,Ticker
01/01/1900,09/09/2024,31.44,31.44,31/01/1900 10:33,30/01/1900 05:58,1,SIA Comdty
02/01/1900,10/09/2024,31.44,31.44,31/01/1900 10:33,30/01/1900 04:27,1,SIA Comdty
03/01/1900,11/09/2024,31.44,31.44,31/01/1900 10:33,30/01/1900 11:45,1,SIA Comdty
04/01/1900,12/09/2024,31.44,31.44,31/01/1900 10:33,31/01/1900 17:49,1,SIA Comdty
05/01/1900,13/09/2024,31.44,31.44,31/01/1900 10:33,01/02/1900 17:00,1,SIA Comdty
06/01/1900,14/09/2024,31.44,31.44,31/01/1900 10:33,01/02/1900 17:00,1,SIA Comdty
07/01/1900,15/09/2024,31.44,31.44,31/01/1900 10:33,01/02/1900 17:00,1,SIA Comdty
08/01/1900,16/09/2024,33,33,02/02/1900 00:00,01/02/1900 18:21,4,SIA Comdty
09/01/1900,17/09/2024,33,33,02/02/1900 00:00,01/02/1900 14:28,4,SIA Comdty
10/01/1900,18/09/2024,33,33,02/02/1900 00:00,01/02/1900 07:16,4,SIA Comdty
11/01/1900,19/09/2024,33,33,02/02/1900 00:00,02/02/1900 01:00,4,SIA Comdty
12/01/1900,20/09/2024,33.2,33.2,02/02/1900 04:48,02/02/1900 02:49,2,SIA Comdty
13/01/1900,21/09/2024,33.2,33.2,02/02/1900 04:48,02/02/1900 02:49,2,SIA Comdty
14/01/1900,22/09/2024,33.2,33.2,02/02/1900 04:48,02/02/1900 02:49,2,SIA Comdty
15/01/1900,23/09/2024,33.2,33.2,02/02/1900 04:48,01/02/1900 17:13,9,SIA Comdty
16/01/1900,24/09/2024,33.2,33.2,02/02/1900 04:48,03/02/1900 01:42,9,SIA Comdty
17/01/1900,25/09/2024,33.2,33.2,02/02/1900 04:48,02/02/1900 15:41,9,SIA Comdty
18/01/1900,26/09/2024,33.2,33.2,02/02/1900 04:48,03/02/1900 00:07,9,SIA Comdty
19/01/1900,27/09/2024,33.2,33.2,33.2,33.471,2,SIA Comdty
20/01/1900,28/09/2024,33.2,33.2,33.2,33.471,2,SIA Comdty
21/01/1900,29/09/2024,33.2,33.2,33.2,33.471,2,SIA Comdty
22/01/1900,30/09/2024,33,33,33,33.12,2,SIA Comdty
23/01/1900,01/10/2024,33,33,33,33.438,2,SIA Comdty
24/01/1900,02/10/2024,33,33,33,33.635,2,SIA Comdty
25/01/1900,03/10/2024,33,33,33,34.2,2,SIA Comdty
26/01/1900,04/10/2024,33,33,33,34.236,5,SIA Comdty
27/01/1900,05/10/2024,33,33,33,34.236,5,SIA Comdty
28/01/1900,06/10/2024,33,33,33,34.236,5,SIA Comdty
29/01/1900,07/10/2024,33,33,33,33.889,5,SIA Comdty
30/01/1900,08/10/2024,33,33,33,32.421,5,SIA Comdty
31/01/1900,09/10/2024,33,33,33,32.503,5,SIA Comdty
01/02/1900,10/10/2024,33,33,33,33.1,5,SIA Comdty
02/02/1900,11/10/2024,33,33,33,33.626,5,SIA Comdty
03/02/1900,12/10/2024,33,33,33,33.626,5,SIA Comdty
04/02/1900,13/10/2024,33,33,33,33.626,5,SIA Comdty
05/02/1900,14/10/2024,33,33,33,33.188,5,SIA Comdty
06/02/1900,15/10/2024,33,33,33,33.639,5,SIA Comdty
07/02/1900,16/10/2024,33,33,33,33.877,5,SIA Comdty
08/02/1900,17/10/2024,33,33,33,33.68,5,SIA Comdty
09/02/1900,18/10/2024,33,33,33,35.181,5,SIA Comdty
10/02/1900,19/10/2024,33,33,33,35.181,5,SIA Comdty
11/02/1900,20/10/2024,33,33,33,35.181,5,SIA Comdty
12/02/1900,21/10/2024,33,33,33,36.102,2,SIA Comdty
13/02/1900,22/10/2024,33,33,33,37.124,1,SIA Comdty
14/02/1900,23/10/2024,33,33,33,35.882,3,SIA Comdty
15/02/1900,24/10/2024,33,33,33,35.859,3,SIA Comdty
16/02/1900,25/10/2024,33,33,33,35.844,3,SIA Comdty
17/02/1900,26/10/2024,33,33,33,35.844,3,SIA Comdty
18/02/1900,27/10/2024,33,33,33,35.844,3,SIA Comdty
19/02/1900,28/10/2024,33,33,33,36.089,3,SIA Comdty
20/02/1900,29/10/2024,33,33,33,36.565,3,SIA Comdty
21/02/1900,30/10/2024,33,33,33,36.183,3,SIA Comdty
22/02/1900,31/10/2024,33,33,33,34.855,3,SIA Comdty
23/02/1900,01/11/2024,33,33,33,34.759,3,SIA Comdty
24/02/1900,02/11/2024,33,33,33,34.759,3,SIA Comdty
25/02/1900,03/11/2024,33,33,33,34.759,3,SIA Comdty
26/02/1900,04/11/2024,33,33,33,34.669,3,SIA Comdty
27/02/1900,05/11/2024,33,33,33,34.84,3,SIA Comdty
28/02/1900,06/11/2024,33,33,33,33.346,3,SIA Comdty
29/02/1900,07/11/2024,33,33,33,33.905,3,SIA Comdty
01/03/1900,08/11/2024,33,33,33,33.483,3,SIA Comdty
02/03/1900,09/11/2024,33,33,33,33.483,3,SIA Comdty
03/03/1900,10/11/2024,33,33,33,33.483,3,SIA Comdty
04/03/1900,11/11/2024,33,33,33,32.619,3,SIA Comdty
05/03/1900,12/11/2024,33,33,33,32.77,1,SIA Comdty
06/03/1900,13/11/2024,33,33,33,32.663,2,SIA Comdty
07/03/1900,14/11/2024,33,33,33,32.563,2,SIA Comdty
08/03/1900,15/11/2024,33,33,33,32.412,2,SIA Comdty
09/03/1900,16/11/2024,33,33,33,32.412,2,SIA Comdty
10/03/1900,17/11/2024,33,33,33,32.412,2,SIA Comdty
11/03/1900,18/11/2024,33,33,33,33.237,2,SIA Comdty
12/03/1900,19/11/2024,33,33,33,33.28,2,SIA Comdty
13/03/1900,20/11/2024,33,33,33,33.027,2,SIA Comdty
14/03/1900,21/11/2024,33,33,33,32.957,3,SIA Comdty
15/03/1900,22/11/2024,33,33,33,33.358,1,SIA Comdty
16/03/1900,23/11/2024,33,33,33,33.358,1,SIA Comdty
17/03/1900,24/11/2024,33,33,33,33.358,1,SIA Comdty
18/03/1900,25/11/2024,33,33,33,32.25,2,SIA Comdty
19/03/1900,26/11/2024,33,33,33,32.411,2,SIA Comdty
20/03/1900,27/11/2024,33,33,33,32.137,4,SIA Comdty
21/03/1900,28/11/2024,33,33,33,32.137,4,SIA Comdty
22/03/1900,29/11/2024,33,33,33,32.681,4,SIA Comdty
23/03/1900,30/11/2024,33,33,33,32.681,4,SIA Comdty
24/03/1900,01/12/2024,33,33,33,32.681,4,SIA Comdty
25/03/1900,02/12/2024,33,33,33,32.421,4,SIA Comdty
26/03/1900,03/12/2024,33.02,33.02,33.02,33.051,3,SIA Comdty
27/03/1900,04/12/2024,32.88,32.88,32.88,33.419,20,SIA Comdty
28/03/1900,05/12/2024,32.88,32.88,32.88,33.063,6,SIA Comdty
29/03/1900,06/12/2024,32.88,32.88,32.88,33.099,6,SIA Comdty
30/03/1900,07/12/2024,32.88,32.88,32.88,33.099,6,SIA Comdty
31/03/1900,08/12/2024,32.88,32.88,32.88,33.099,6,SIA Comdty
01/04/1900,09/12/2024,33.505,33.51,33.505,34.125,4,SIA Comdty
02/04/1900,10/12/2024,33.505,33.51,33.505,34.239,4,SIA Comdty
03/04/1900,11/12/2024,34.5,34.55,34.5,34.431,27,SIA Comdty
04/04/1900,12/12/2024,34.5,34.55,34.5,33.092,9,SIA Comdty
05/04/1900,13/12/2024,32.88,32.88,32.4,32.549,26,SIA Comdty
06/04/1900,14/12/2024,32.88,32.88,32.4,32.549,26,SIA Comdty
07/04/1900,15/12/2024,32.88,32.88,32.4,32.549,26,SIA Comdty
08/04/1900,16/12/2024,32.88,32.88,32.4,32.593,13,SIA Comdty
