column,present,n_total,n_valid,n_missing,pct_missing,first_valid,last_valid,min,max,mean,note
gc_fut_front,True,2976,2975,1,0.0,2018-01-02,2026-02-27,1179.6,5318.4,2037.0882,
gc_fut_second,True,2976,2975,1,0.0,2018-01-02,2026-02-27,1184.0,5354.8,2050.0844,
gc_fut_third,True,2976,2975,1,0.0,2018-01-02,2026-02-27,1189.5,5395.8,2062.7006,
si_fut_front,True,2976,2975,1,0.0,2018-01-02,2026-02-27,11.772,115.504,25.1619,POSSIBLE_OUTLIERS(25)
si_fut_second,True,2976,2975,1,0.0,2018-01-02,2026-02-27,11.805,116.388,25.3559,POSSIBLE_OUTLIERS(25)
si_fut_third,True,2976,2975,1,0.0,2018-01-02,2026-02-27,11.83,117.261,25.5392,POSSIBLE_OUTLIERS(25)
xauusd_spot,True,2976,2975,1,0.0,2018-01-02,2026-02-27,1174.16,5417.21,2032.7302,
xagusd_spot,True,2976,2975,1,0.0,2018-01-02,2026-02-27,11.981,116.6974,25.1152,POSSIBLE_OUTLIERS(32)
lbma_gold_am,True,2976,2975,1,0.0,2018-01-02,2026-02-27,1176.7,5501.7,2031.6338,
lbma_gold_pm,True,2976,2975,1,0.0,2018-01-02,2026-02-27,1178.4,5405.0,2031.1715,
gold_efp,True,2976,239,2737,92.0,2025-07-03,2026-02-27,-3.5,92.5,24.5722,
silver_efp,True,2976,239,2737,92.0,2025-07-03,2026-02-27,-287.5,86.5,1.5523,POSSIBLE_OUTLIERS(3)
xau_swap_1m,True,2976,2976,0,0.0,2018-01-01,2026-02-27,-0.75,5.7435,2.7045,
xau_swap_3m,True,2976,2976,0,0.0,2018-01-01,2026-02-27,0.05,5.7317,2.8172,
xau_swap_6m,True,2976,2976,0,0.0,2018-01-01,2026-02-27,0.0973,5.77,2.8613,
xau_swap_1y,True,2976,2976,0,0.0,2018-01-01,2026-02-27,0.185,5.69,2.8304,
gold_vol_index,True,2976,2975,1,0.0,2018-01-02,2026-02-27,8.88,48.98,16.6161,POSSIBLE_OUTLIERS(9)
vix,True,2976,2975,1,0.0,2018-01-02,2026-02-27,9.15,82.69,19.6083,POSSIBLE_OUTLIERS(21)
us_10y_yield,True,2976,2976,0,0.0,2018-01-01,2026-02-27,0.5069,4.9898,2.8684,
