spread,period,n_obs,halflife_days
cal_12,full,2129,408.5
cal_12,pre-COVID,522,12.0
cal_12,COVID,523,9.9
cal_12,hike-cycle,521,171.7
cal_12,recent,565,164.2
cal_23,full,2129,N/A (not MR)
cal_23,pre-COVID,522,14.3
cal_23,COVID,523,48.6
cal_23,hike-cycle,521,161.4
cal_23,recent,565,1320.6
fly_123,full,2129,6.8
fly_123,pre-COVID,522,11.1
fly_123,COVID,523,4.1
fly_123,hike-cycle,521,13.8
fly_123,recent,565,11.0
cal_12_norm,full,2129,63.9
cal_12_norm,pre-COVID,522,8.9
cal_12_norm,COVID,523,8.7
cal_12_norm,hike-cycle,521,132.3
cal_12_norm,recent,565,28.3
cal_23_norm,full,2129,358.3
cal_23_norm,pre-COVID,522,35.1
cal_23_norm,COVID,523,43.1
cal_23_norm,hike-cycle,521,128.1
cal_23_norm,recent,565,41.3
fly_123_norm,full,2129,5.7
fly_123_norm,pre-COVID,522,10.0
fly_123_norm,COVID,523,3.9
fly_123_norm,hike-cycle,521,14.5
fly_123_norm,recent,565,11.3
