spread,period,n_obs,halflife_days
si_cal_12,full,2129,202.3
si_cal_12,pre-COVID,522,34.8
si_cal_12,COVID,523,26.5
si_cal_12,hike-cycle,521,67.5
si_cal_12,recent,565,45.9
si_cal_23,full,2129,458.4
si_cal_23,pre-COVID,522,19.1
si_cal_23,COVID,523,42.1
si_cal_23,hike-cycle,521,67.7
si_cal_23,recent,565,71.0
si_fly_123,full,2129,24.7
si_fly_123,pre-COVID,522,43.7
si_fly_123,COVID,523,6.0
si_fly_123,hike-cycle,521,21.2
si_fly_123,recent,565,33.1
si_cal_12_norm,full,2129,69.2
si_cal_12_norm,pre-COVID,522,30.5
si_cal_12_norm,COVID,523,21.6
si_cal_12_norm,hike-cycle,521,55.4
si_cal_12_norm,recent,565,37.8
si_cal_23_norm,full,2129,96.9
si_cal_23_norm,pre-COVID,522,20.8
si_cal_23_norm,COVID,523,43.1
si_cal_23_norm,hike-cycle,521,54.6
si_cal_23_norm,recent,565,46.8
si_fly_123_norm,full,2129,19.2
si_fly_123_norm,pre-COVID,522,41.2
si_fly_123_norm,COVID,523,6.6
si_fly_123_norm,hike-cycle,521,21.4
si_fly_123_norm,recent,565,32.4
