series,period,n_obs,halflife_days,mean,std
gs_ratio_fut,full,2129,98.1,82.78,9.105
gs_ratio_fut,pre-COVID,522,41.5,83.59,3.739
gs_ratio_fut,COVID,523,115.5,80.24,13.469
gs_ratio_fut,hike-cycle,521,25.1,83.16,4.391
gs_ratio_fut,recent,565,156.9,84.03,10.293
gs_ratio_spot,full,2129,117.5,82.84,9.139
gs_ratio_spot,pre-COVID,522,45.7,83.51,3.71
gs_ratio_spot,COVID,523,133.7,80.46,13.522
gs_ratio_spot,hike-cycle,521,25.6,83.18,4.186
gs_ratio_spot,recent,565,238.8,84.1,10.472
gs_log_ratio,full,2129,95.7,4.41,0.112
gs_log_ratio,pre-COVID,522,40.6,4.42,0.045
gs_log_ratio,COVID,523,111.3,4.37,0.155
gs_log_ratio,hike-cycle,521,25.2,4.42,0.052
gs_log_ratio,recent,565,128.1,4.42,0.138
