label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label
cal_12_lb20_ez1.0_xz0.0_mh5,2129,-249.7,-29.56,12.382,-2.387,-260.5,235,0.043,1.07,-0.616,1.74,3.5,1,78,20,1.0,0.0,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.0_xz0.0_mh10,2129,-151.5,-17.93,12.012,-1.493,-164.3,168,0.065,0.9,-0.831,1.08,7.3,2,52,20,1.0,0.0,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.0_xz0.0_mh20,2129,-103.8,-12.29,11.772,-1.044,-116.6,127,0.11,0.943,-0.983,0.96,12.0,2,34,20,1.0,0.0,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.0_xz0.0_mh40,2129,-84.2,-9.97,11.656,-0.855,-97.0,114,0.123,0.786,-0.837,0.94,14.3,3,31,20,1.0,0.0,40,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.0_xz0.5_mh5,2129,-260.8,-30.87,12.174,-2.536,-271.6,244,0.049,0.958,-0.701,1.37,3.5,1,84,20,1.0,0.5,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.0_xz0.5_mh10,2129,-172.9,-20.47,11.757,-1.741,-184.7,182,0.055,1.05,-0.926,1.13,6.8,2,63,20,1.0,0.5,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.0_xz0.5_mh20,2129,-133.7,-15.83,11.539,-1.371,-145.5,162,0.074,1.108,-0.994,1.12,9.5,2,35,20,1.0,0.5,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.0_xz0.5_mh40,2129,-123.1,-14.57,11.469,-1.27,-134.9,156,0.083,1.085,-0.955,1.14,10.2,2,34,20,1.0,0.5,40,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.0_mh5,2129,-149.2,-17.66,11.426,-1.546,-160.2,151,0.113,1.088,-0.971,1.12,5.5,1,31,20,1.5,0.0,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.0_mh10,2129,-85.7,-10.14,11.492,-0.883,-97.7,125,0.16,1.23,-1.059,1.16,9.7,2,26,20,1.5,0.0,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.0_mh20,2129,-67.7,-8.01,11.495,-0.697,-79.7,108,0.176,1.137,-1.185,0.96,13.9,2,21,20,1.5,0.0,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.0_mh40,2129,-51.0,-6.04,11.37,-0.531,-63.0,100,0.19,1.095,-0.962,1.14,16.8,2,18,20,1.5,0.0,40,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.5_mh5,2129,-151.2,-17.9,11.35,-1.577,-162.2,158,0.108,1.065,-0.969,1.1,5.1,1,33,20,1.5,0.5,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.5_mh10,2129,-98.9,-11.71,11.26,-1.04,-110.9,135,0.119,1.113,-0.985,1.13,8.1,2,29,20,1.5,0.5,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.5_mh20,2129,-83.1,-9.84,11.244,-0.875,-95.1,125,0.128,1.263,-1.08,1.17,10.6,2,27,20,1.5,0.5,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez1.5_xz0.5_mh40,2129,-75.4,-8.92,11.137,-0.801,-87.4,122,0.139,1.235,-0.97,1.27,11.3,3,26,20,1.5,0.5,40,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.0_mh5,2129,-80.3,-9.5,10.853,-0.876,-82.5,115,0.157,1.089,-0.97,1.12,6.0,3,33,20,2.0,0.0,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.0_mh10,2129,-53.9,-6.38,11.026,-0.579,-64.1,99,0.192,1.521,-1.082,1.41,10.0,3,28,20,2.0,0.0,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.0_mh20,2129,-44.3,-5.24,11.312,-0.464,-53.4,89,0.213,1.226,-1.304,0.94,14.6,3,19,20,2.0,0.0,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.0_mh40,2129,-33.9,-4.01,11.23,-0.357,-44.5,87,0.218,1.184,-0.916,1.29,16.1,3,19,20,2.0,0.0,40,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.5_mh5,2129,-78.3,-9.27,10.742,-0.863,-80.5,116,0.147,1.159,-0.954,1.22,5.6,3,29,20,2.0,0.5,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.5_mh10,2129,-65.0,-7.69,10.811,-0.712,-72.6,104,0.163,1.229,-1.044,1.18,8.6,3,29,20,2.0,0.5,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.5_mh20,2129,-53.3,-6.31,11.036,-0.572,-60.9,97,0.175,1.3,-1.145,1.14,11.1,3,21,20,2.0,0.5,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.0_xz0.5_mh40,2129,-49.0,-5.8,10.945,-0.53,-56.6,97,0.186,1.272,-0.966,1.32,11.6,3,21,20,2.0,0.5,40,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.0_mh5,2129,-15.3,-1.81,10.017,-0.181,-33.7,62,0.21,2.492,-0.957,2.6,6.3,4,27,20,2.5,0.0,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.0_mh10,2129,-9.7,-1.15,10.083,-0.114,-32.3,58,0.259,2.067,-1.105,1.87,10.2,4,13,20,2.5,0.0,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.0_mh20,2129,3.5,0.41,10.194,0.041,-28.0,57,0.316,2.122,-0.874,2.43,13.7,8,12,20,2.5,0.0,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.0_mh40,2129,3.9,0.46,10.209,0.045,-28.0,57,0.316,2.122,-0.864,2.46,15.3,8,12,20,2.5,0.0,40,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.5_mh5,2129,-21.9,-2.59,9.851,-0.263,-33.7,62,0.21,1.977,-0.955,2.07,6.0,4,25,20,2.5,0.5,5,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.5_mh10,2129,-17.3,-2.05,9.885,-0.207,-32.1,58,0.224,1.754,-1.042,1.68,8.9,4,25,20,2.5,0.5,10,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.5_mh20,2129,-4.4,-0.52,9.944,-0.052,-29.7,58,0.259,1.967,-0.774,2.54,10.7,4,25,20,2.5,0.5,20,cal_12,GC1-GC2 calendar
cal_12_lb20_ez2.5_xz0.5_mh40,2129,-3.9,-0.46,9.94,-0.046,-29.7,58,0.259,1.967,-0.763,2.58,10.9,4,25,20,2.5,0.5,40,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.0_mh5,2129,-221.0,-26.16,12.344,-2.119,-224.6,212,0.042,0.611,-0.497,1.23,3.2,4,107,60,1.0,0.0,5,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.0_mh10,2129,-112.9,-13.36,12.039,-1.11,-121.0,122,0.115,1.136,-0.761,1.49,8.1,4,61,60,1.0,0.0,10,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.0_mh20,2129,-58.9,-6.97,11.829,-0.589,-67.8,84,0.155,1.285,-0.738,1.74,13.4,3,38,60,1.0,0.0,20,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.0_mh40,2129,-26.4,-3.12,11.712,-0.267,-43.5,60,0.217,1.223,-0.934,1.31,25.1,3,24,60,1.0,0.0,40,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.5_mh5,2129,-220.7,-26.12,12.082,-2.162,-224.4,215,0.06,0.869,-0.509,1.71,3.1,4,86,60,1.0,0.5,5,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.5_mh10,2129,-121.9,-14.43,11.71,-1.232,-129.6,133,0.098,1.115,-0.752,1.48,7.0,3,52,60,1.0,0.5,10,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.5_mh20,2129,-70.6,-8.36,11.441,-0.73,-79.3,99,0.152,1.073,-0.726,1.48,11.5,3,37,60,1.0,0.5,20,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.0_xz0.5_mh40,2129,-47.3,-5.6,11.335,-0.494,-58.6,85,0.2,1.0,-0.835,1.2,17.1,3,27,60,1.0,0.5,40,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.5_xz0.0_mh5,2129,-113.9,-13.48,11.423,-1.18,-122.5,129,0.109,1.607,-0.603,2.67,4.1,2,52,60,1.5,0.0,5,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.5_xz0.0_mh10,2129,-52.7,-6.24,11.536,-0.541,-61.3,81,0.198,1.4,-1.151,1.22,10.4,4,19,60,1.5,0.0,10,cal_12,GC1-GC2 calendar
cal_12_lb60_ez1.5_xz0.0_mh20,2129,-19.2,-2.27,11.389,-0.2,-41.6,59,0.288,1.735,-1.24,1.4,20.7,4,14,60,1.5,0.0,20,cal_12,GC1-GC2 calendar
