year,total_pnl,ann_vol,sharpe,max_dd,n_entries,spread,spread_label
2018,-1.0,1.3,-0.75,-1.8,1,cal_12,GC1-GC2 calendar
2019,-2.0,2.061,-0.94,-2.2,4,cal_12,GC1-GC2 calendar
2020,38.3,20.561,1.79,-5.6,4,cal_12,GC1-GC2 calendar
2021,-0.8,1.05,-0.74,-1.3,2,cal_12,GC1-GC2 calendar
2022,-8.4,2.83,-2.88,-8.9,5,cal_12,GC1-GC2 calendar
2023,0.0,0.0,,0.0,0,cal_12,GC1-GC2 calendar
2024,0.3,3.17,0.09,-2.6,4,cal_12,GC1-GC2 calendar
2025,4.7,7.192,0.63,-4.2,3,cal_12,GC1-GC2 calendar
2026,7.6,11.497,3.97,0.0,1,cal_12,GC1-GC2 calendar
2018,-0.1,0.473,-0.2,-0.3,1,cal_23,GC2-GC3 calendar
2019,-0.8,1.479,-0.52,-1.0,3,cal_23,GC2-GC3 calendar
2020,0.1,8.857,0.01,-7.2,2,cal_23,GC2-GC3 calendar
2021,-0.5,1.1,-0.44,-0.9,2,cal_23,GC2-GC3 calendar
2022,-6.8,2.31,-2.85,-6.8,2,cal_23,GC2-GC3 calendar
2023,0.0,0.0,,0.0,0,cal_23,GC2-GC3 calendar
2024,-1.6,2.995,-0.51,-4.2,4,cal_23,GC2-GC3 calendar
2025,3.8,4.375,0.84,-2.9,3,cal_23,GC2-GC3 calendar
2026,-4.3,18.873,-1.37,-8.4,0,cal_23,GC2-GC3 calendar
2018,0.1,0.991,0.1,-0.8,1,fly_123,GC butterfly
2019,-1.4,1.548,-0.87,-1.9,1,fly_123,GC butterfly
2020,17.1,27.467,0.6,-26.1,3,fly_123,GC butterfly
2021,0.4,0.775,0.5,-0.4,1,fly_123,GC butterfly
2022,-2.0,2.819,-0.69,-2.8,2,fly_123,GC butterfly
2023,1.9,1.315,1.4,-0.8,2,fly_123,GC butterfly
2024,-2.1,3.325,-0.61,-3.2,1,fly_123,GC butterfly
2025,3.6,7.129,0.49,-5.8,2,fly_123,GC butterfly
2026,4.8,10.73,2.68,-0.7,1,fly_123,GC butterfly
2018,14.04,12.564,1.08,-3.25,3,cal_12_norm,GC1-GC2 normalised (bps)
2019,29.26,15.019,1.88,-3.04,6,cal_12_norm,GC1-GC2 normalised (bps)
2020,216.34,114.559,1.82,-18.29,4,cal_12_norm,GC1-GC2 normalised (bps)
2021,4.68,5.117,0.88,-2.37,2,cal_12_norm,GC1-GC2 normalised (bps)
2022,-19.74,12.737,-1.5,-24.8,3,cal_12_norm,GC1-GC2 normalised (bps)
2023,7.22,4.335,1.61,-1.19,2,cal_12_norm,GC1-GC2 normalised (bps)
2024,16.7,11.404,1.41,-5.82,5,cal_12_norm,GC1-GC2 normalised (bps)
2025,28.61,15.397,1.79,-3.06,5,cal_12_norm,GC1-GC2 normalised (bps)
2026,0.0,0.0,,0.0,0,cal_12_norm,GC1-GC2 normalised (bps)
2018,21.18,14.687,1.4,-9.19,7,fly_123_norm,GC butterfly normalised (bps)
2019,49.48,19.627,2.43,-12.73,16,fly_123_norm,GC butterfly normalised (bps)
2020,117.21,182.175,0.62,-160.2,6,fly_123_norm,GC butterfly normalised (bps)
2021,10.33,15.902,0.63,-7.78,8,fly_123_norm,GC butterfly normalised (bps)
2022,20.42,30.757,0.64,-14.71,11,fly_123_norm,GC butterfly normalised (bps)
2023,32.8,19.179,1.66,-6.65,8,fly_123_norm,GC butterfly normalised (bps)
2024,20.47,22.949,0.86,-13.91,8,fly_123_norm,GC butterfly normalised (bps)
2025,55.78,27.095,1.99,-18.02,10,fly_123_norm,GC butterfly normalised (bps)
2026,-0.33,28.418,-0.07,-10.52,0,fly_123_norm,GC butterfly normalised (bps)
