label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label
gs_ratio_fut_lb20_ez1.0_xz0.0_mh5,2129,-24.98,-2.96,16.692,-0.177,-60.09,237,0.342,1.651,-0.828,1.99,4.2,6,15,20,1.0,0.0,5,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.0_xz0.0_mh10,2129,-15.27,-1.81,17.063,-0.106,-66.97,159,0.566,1.759,-1.993,0.88,8.9,8,8,20,1.0,0.0,10,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.0_xz0.0_mh20,2129,-19.99,-2.37,17.387,-0.136,-63.14,133,0.647,1.659,-2.874,0.58,13.1,11,5,20,1.0,0.0,20,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.0_xz0.0_mh40,2129,-16.98,-2.01,17.718,-0.113,-57.8,121,0.694,1.607,-3.93,0.41,15.4,11,4,20,1.0,0.0,40,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.0_xz0.5_mh5,2129,-37.06,-4.39,16.349,-0.268,-61.31,243,0.412,1.359,-0.933,1.46,4.1,7,15,20,1.0,0.5,5,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.0_xz0.5_mh10,2129,-33.3,-3.94,16.52,-0.239,-62.6,180,0.639,1.357,-2.345,0.58,7.9,7,8,20,1.0,0.5,10,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.0_xz0.5_mh20,2129,-30.74,-3.64,16.636,-0.219,-62.92,162,0.704,1.364,-3.551,0.38,10.7,13,5,20,1.0,0.5,20,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.0_xz0.5_mh40,2129,-22.52,-2.67,16.808,-0.159,-55.12,161,0.708,1.364,-3.767,0.36,11.4,13,5,20,1.0,0.5,40,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.5_xz0.0_mh5,2129,-53.86,-6.38,14.303,-0.446,-69.15,156,0.41,2.009,-1.224,1.64,5.7,5,12,20,1.5,0.0,5,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.5_xz0.0_mh10,2129,-38.35,-4.54,15.301,-0.297,-63.58,123,0.553,2.029,-2.759,0.74,11.1,5,6,20,1.5,0.0,10,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.5_xz0.0_mh20,2129,-33.68,-3.99,16.308,-0.244,-60.74,106,0.642,1.9,-3.914,0.49,15.9,9,3,20,1.5,0.0,20,gs_ratio_fut,GS raw ratio
gs_ratio_fut_lb20_ez1.5_xz0.0_mh40,2129,-24.1,-2.85,16.876,-0.169,-55.65,99,0.667,1.845,-4.542,0.41,18.3,9,3,20,1.5,0.0,40,gs_ratio_fut,GS raw ratio
