year,total_pnl,ann_vol,sharpe,max_dd,n_entries,spread,spread_label
2018,3.88,5.54,0.68,-4.41,7,gs_ratio_fut,GS raw ratio
2019,-1.28,8.269,-0.15,-9.23,6,gs_ratio_fut,GS raw ratio
2020,-35.32,24.28,-1.4,-38.26,6,gs_ratio_fut,GS raw ratio
2021,0.03,12.014,0.0,-10.27,5,gs_ratio_fut,GS raw ratio
2022,13.64,12.57,1.05,-8.85,7,gs_ratio_fut,GS raw ratio
2023,13.59,8.088,1.63,-3.73,4,gs_ratio_fut,GS raw ratio
2024,6.85,11.891,0.55,-9.42,6,gs_ratio_fut,GS raw ratio
2025,-12.08,19.387,-0.6,-25.44,6,gs_ratio_fut,GS raw ratio
2026,10.04,42.042,1.43,-10.72,1,gs_ratio_fut,GS raw ratio
2018,-0.01,0.072,-0.08,-0.08,4,gs_log_ratio,GS log ratio (preferred)
2019,0.02,0.108,0.14,-0.11,6,gs_log_ratio,GS log ratio (preferred)
2020,-0.26,0.299,-0.85,-0.4,6,gs_log_ratio,GS log ratio (preferred)
2021,-0.1,0.202,-0.48,-0.19,5,gs_log_ratio,GS log ratio (preferred)
2022,0.0,0.171,0.01,-0.17,8,gs_log_ratio,GS log ratio (preferred)
2023,0.34,0.126,2.63,-0.04,6,gs_log_ratio,GS log ratio (preferred)
2024,0.18,0.182,0.97,-0.15,8,gs_log_ratio,GS log ratio (preferred)
2025,-0.41,0.278,-1.41,-0.54,6,gs_log_ratio,GS log ratio (preferred)
2026,-0.01,0.894,-0.1,-0.33,1,gs_log_ratio,GS log ratio (preferred)
