spread_label,metal,track,sharpe,max_dd,hit_rate,avg_hold_days,n_trades,lookback,entry_z,exit_z,max_hold,2018,2019,2020,2021,2022,2023,2024,2025,2026
SI1-SI2 normalised (bps),silver,curve,1.198,-63.71,0.833,26.2,48,60,1.5,0.0,40,0.2,0.59,0.98,1.36,2.91,1.28,1.02,1.41,-0.84
SI butterfly normalised (bps),silver,curve,1.047,-63.21,0.647,27.0,51,120,1.0,0.5,40,0.31,0.7,2.07,0.95,1.39,1.28,0.59,0.65,-2.3
GC1-GC2 normalised (bps),gold,curve,0.842,-30.13,0.786,14.4,28,60,2.5,0.5,20,1.08,1.88,1.82,0.88,-1.5,1.61,1.41,1.79,
SI1-SI2 calendar,silver,curve,0.743,-0.16,0.667,18.3,30,60,2.5,0.0,20,1.25,-2.09,0.23,1.01,2.03,1.31,0.44,0.37,2.69
SI butterfly,silver,curve,0.724,-0.1,0.593,34.3,27,120,1.5,0.5,40,-1.19,-0.68,1.76,0.32,0.99,0.85,0.02,1.04,
GC butterfly normalised (bps),gold,curve,0.577,-160.2,0.684,22.4,57,120,1.0,0.0,40,1.4,2.43,0.62,0.63,0.64,1.66,0.86,1.99,-0.07
GC1-GC2 calendar,gold,curve,0.57,-12.4,0.391,20.0,23,120,2.5,0.5,20,-0.75,-0.94,1.79,-0.74,-2.88,,0.09,0.63,3.97
GC butterfly,gold,curve,0.26,-26.1,0.667,34.8,12,120,2.5,0.0,40,0.1,-0.87,0.6,0.5,-0.69,1.4,-0.61,0.49,2.68
SI2-SI3 calendar,silver,curve,0.191,-0.26,0.532,17.0,47,20,2.5,0.0,20,-1.31,0.45,0.42,0.18,-0.85,-0.59,-2.03,1.88,2.2
GS raw ratio,cross,ratio,-0.005,-46.1,0.619,23.8,42,60,2.0,0.0,20,0.68,-0.15,-1.4,0.0,1.05,1.63,0.55,-0.6,1.43
GS log ratio (preferred),cross,ratio,-0.128,-0.79,0.541,33.4,37,120,1.0,0.0,40,-0.08,0.14,-0.85,-0.48,0.01,2.63,0.97,-1.41,-0.1
GC2-GC3 calendar,gold,curve,-0.263,-14.1,0.467,34.6,15,120,2.5,0.5,40,-0.2,-0.52,0.01,-0.44,-2.85,,-0.51,0.84,-1.37
