label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,spread,lb_resid,entry_z,exit_z,max_hold,model
GC_cal12_fv_fv_lb20_ez1.0_xz0.0_mh5,2129,63.82,7.55,67.907,0.111,-122.95,266,0.113,3.132,-0.399,7.85,1.5,3,37,GC_cal12_fv,20,1.0,0.0,5,fair_value
GC_cal12_fv_fv_lb20_ez1.0_xz0.0_mh10,2129,199.14,23.57,67.841,0.347,-122.95,146,0.24,3.293,-0.974,3.38,4.4,4,16,GC_cal12_fv,20,1.0,0.0,10,fair_value
GC_cal12_fv_fv_lb20_ez1.0_xz0.0_mh20,2129,254.23,30.09,67.915,0.443,-122.95,88,0.409,3.539,-1.057,3.35,9.9,4,11,GC_cal12_fv,20,1.0,0.0,20,fair_value
GC_cal12_fv_fv_lb20_ez1.0_xz0.0_mh40,2129,275.54,32.61,68.005,0.48,-122.95,62,0.661,4.417,-1.688,2.62,20.6,11,7,GC_cal12_fv,20,1.0,0.0,40,fair_value
GC_cal12_fv_fv_lb20_ez1.0_xz0.5_mh5,2129,72.88,8.63,67.51,0.128,-122.95,267,0.157,3.286,-0.45,7.3,1.6,3,30,GC_cal12_fv,20,1.0,0.5,5,fair_value
GC_cal12_fv_fv_lb20_ez1.0_xz0.5_mh10,2129,209.08,24.75,67.367,0.367,-122.95,154,0.344,3.238,-1.076,3.01,4.3,6,13,GC_cal12_fv,20,1.0,0.5,10,fair_value
GC_cal12_fv_fv_lb20_ez1.0_xz0.5_mh20,2129,255.39,30.23,67.336,0.449,-122.95,102,0.51,3.782,-1.421,2.66,9.2,6,6,GC_cal12_fv,20,1.0,0.5,20,fair_value
GC_cal12_fv_fv_lb20_ez1.0_xz0.5_mh40,2129,275.27,32.58,67.443,0.483,-122.95,79,0.747,4.068,-1.675,2.43,16.2,13,3,GC_cal12_fv,20,1.0,0.5,40,fair_value
GC_cal12_fv_fv_lb20_ez1.5_xz0.0_mh5,2129,117.05,13.85,67.033,0.207,-122.95,207,0.198,3.276,-0.558,5.87,2.4,3,26,GC_cal12_fv,20,1.5,0.0,5,fair_value
GC_cal12_fv_fv_lb20_ez1.5_xz0.0_mh10,2129,221.85,26.26,67.0,0.392,-122.95,121,0.355,3.407,-1.225,2.78,6.5,5,13,GC_cal12_fv,20,1.5,0.0,10,fair_value
GC_cal12_fv_fv_lb20_ez1.5_xz0.0_mh20,2129,282.46,33.43,67.083,0.498,-122.95,80,0.438,4.811,-1.157,4.16,12.1,5,11,GC_cal12_fv,20,1.5,0.0,20,fair_value
GC_cal12_fv_fv_lb20_ez1.5_xz0.0_mh40,2129,315.34,37.33,67.262,0.555,-122.95,59,0.695,4.943,-1.664,2.97,21.9,11,7,GC_cal12_fv,20,1.5,0.0,40,fair_value
