year,total_pnl,ann_vol,sharpe,max_dd,n_entries,strategy
2018,0.0,0.0,,0.0,0,GC_cal12_fv
2019,21.68,16.568,1.26,-8.25,9,GC_cal12_fv
2020,170.07,184.2,0.89,-122.95,11,GC_cal12_fv
2021,-10.0,11.883,-0.81,-15.74,7,GC_cal12_fv
2022,38.71,30.153,1.24,-16.87,9,GC_cal12_fv
2023,21.49,19.174,1.09,-7.57,11,GC_cal12_fv
2024,35.68,20.639,1.66,-6.66,14,GC_cal12_fv
2025,56.1,27.08,2.0,-11.65,11,GC_cal12_fv
2026,11.48,26.824,2.57,-3.97,2,GC_cal12_fv
2018,0.0,0.0,,0.0,0,SI_cal12_fv
2019,22.81,21.978,1.0,-20.1,5,SI_cal12_fv
2020,101.82,95.499,1.03,-42.07,5,SI_cal12_fv
2021,-9.68,47.038,-0.2,-45.36,4,SI_cal12_fv
2022,171.24,67.769,2.45,-19.75,9,SI_cal12_fv
2023,83.59,68.439,1.18,-27.95,5,SI_cal12_fv
2024,42.4,31.714,1.29,-14.66,7,SI_cal12_fv
2025,33.78,45.428,0.72,-23.83,7,SI_cal12_fv
2026,-3.93,35.948,-0.66,-12.52,1,SI_cal12_fv
2018,0.0,0.0,,0.0,0,GC_fly_fv
2019,21.77,15.828,1.33,-13.15,9,GC_fly_fv
2020,143.35,173.079,0.8,-121.1,7,GC_fly_fv
2021,-0.8,15.619,-0.05,-9.62,5,GC_fly_fv
2022,13.12,20.246,0.63,-10.31,6,GC_fly_fv
2023,28.43,21.405,1.29,-11.97,7,GC_fly_fv
2024,14.99,21.748,0.66,-21.22,8,GC_fly_fv
2025,41.32,27.423,1.45,-16.05,7,GC_fly_fv
2026,-0.16,28.423,-0.03,-11.52,1,GC_fly_fv
2018,0.0,0.0,,0.0,0,SI_fly_fv
2019,5.15,35.955,0.14,-32.77,3,SI_fly_fv
2020,151.95,114.532,1.28,-47.08,3,SI_fly_fv
2021,55.42,31.182,1.72,-8.59,5,SI_fly_fv
2022,28.37,43.962,0.63,-29.58,6,SI_fly_fv
2023,105.75,77.014,1.33,-21.79,5,SI_fly_fv
2024,3.34,60.138,0.05,-50.87,4,SI_fly_fv
2025,40.35,43.862,0.89,-7.74,3,SI_fly_fv
2026,0.0,0.0,,0.0,0,SI_fly_fv
