Date,Spot Date,Spot,First Delivery Date,Days to FDD,Swap Rate,Swap Implied EFP,Traded EFP,Nearby Contract Discount/Premium EFP over Swaps,$4 - 50% of Uncovered Position Outside Nearby,$6 - 75% of Uncovered Position Outside Nearby,$8 - 100% of Uncovered Position Outside Nearby,,Date,Spot Date,Spot,First Notice Day,Days to FND,Swap Rate,Swap Implied EFP,Traded EFP,Nearby Contract/Premium EFP over Swaps,"15c - Call to Assess Market Dynamics, Possible Sourcing Requirements, and Available Liquidity/Stock","20c for 5 Consecutive Business Days - 75% Cover, 50% Utilisation from 1st Active Contract","25c for 5 Consecutive Business Days - 100% Cover, 50% Utilisation from 1st and 2nd Active Contract",Implied in Cents,EFP in cents,Discount/Prem in Cents,,,Gold COMEX Stocks (oz),Gold Active Contract,Gold Aggregate OI,Gold Aggregate OI (oz),"Stock/
Agg OI ",,Silver COMEX Stocks ('000 oz),Silver Active Contract,Silver OI Contract,Stocks/Agg OI,Silver COMEX Stocks,Silver OI ('000 oz),Silver OI (oz)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.62%,#NAME?,13.95,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.60%,#NAME?,13.75,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.63%,#NAME?,12.8,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.60%,#NAME?,11.9,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.60%,#NAME?,12.25,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.64%,#NAME?,12,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.65%,#NAME?,11.8,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.68%,#NAME?,11.4,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.68%,#NAME?,11.4,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.67%,#NAME?,10.5,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/12/2022,#NAME?,#NAME?,#NAME?,#NAME?,4.66%,#NAME?,10,#NAME?,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
